 Copyright (C) 1995-2014 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.2.0
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: T (file variable)
Type: float
Total Size: 22915728 bytes
            5728932 values
Number of Dimensions: 4
Dimensions and sizes:	[Time | 33] x [bottom_top | 34] x [south_north | 69] x [west_east | 74]
Coordinates: 
Number Of Attributes: 6
  FieldType :	104
  MemoryOrder :	XYZ
  description :	perturbation potential temperature (theta-t0)
  units :	K
  stagger :	
  coordinates :	XLONG XLAT
(0,0,10,24)	7.900543
(0,0,10,25)	7.68103
(0,0,10,26)	7.471619
(0,0,10,27)	7.305542
(0,0,10,28)	6.97699
(0,0,10,29)	6.832581
(0,0,10,30)	6.463806
(0,0,10,31)	6.025116
(0,0,10,32)	5.190887
(0,0,10,33)	4.120911
(0,0,10,34)	3.252655
(0,0,10,35)	2.30603
(0,0,10,36)	1.60083
(0,0,10,37)	1.754913
(0,0,10,38)	1.953949
(0,0,10,39)	1.671051
(0,0,10,40)	1.544037
(0,0,10,41)	1.483673
(0,0,10,42)	0.9861145
(0,0,10,43)	0.6308289
(0,0,10,44)	1.032562
(0,0,10,45)	1.395447
(0,0,10,46)	1.506561
(0,0,10,47)	1.649231
(0,0,10,48)	1.694702
(0,0,10,49)	1.243073
(0,0,10,50)	1.090118
(0,0,10,51)	0.921936
(0,0,10,52)	0.6871948
(0,0,10,53)	0.2543945
(0,0,10,54)	0.123291
(0,0,10,55)	0.8605652
